,V,I,SOC
135,3.698227,0.0,0.4975614140398264
136,3.698382,0.0,0.4975614140398264
137,3.698382,0.0,0.4975614140398264
138,3.698537,0.0,0.4975614140398264
139,3.698692,0.0,0.4975614140398264
140,3.698847,0.0,0.4975614140398264
141,3.699002,0.0,0.4975614140398264
142,3.699002,0.0,0.4975614140398264
143,3.699157,0.0,0.4975614140398264
144,3.699312,0.0,0.4975614140398264
145,3.699467,0.0,0.4975614140398264
146,3.699622,0.0,0.4975614140398264
147,3.699622,0.0,0.4975614140398264
148,3.681951,-0.62407,0.4975614140398264
149,3.680401,-0.62407,0.4975614140398264
150,3.679471,-0.625,0.4975270912732814
151,3.678695,-0.62407,0.49749271437440984
152,3.678231,-0.62407,0.4974580440897178
153,3.67761,-0.62407,0.49742233395922303
154,3.677145,-0.62407,0.4973876636745313
155,3.67668,-0.62407,0.4973529933898394
156,3.67637,-0.62407,0.49731832310514756
157,3.67606,-0.62407,0.4972839970882378
158,3.675595,-0.62407,0.49724932680354605
159,3.67544,-0.62407,0.4972146567897179
160,3.67513,-0.62407,0.49717998650502615
161,3.67482,-0.62407,0.4971453159494706
162,3.67451,-0.62407,0.4971106456647787
163,3.6742,-0.62407,0.49707632262736984
164,3.674045,-0.625,0.49704165234267794
165,3.67389,-0.62407,0.4970069274077821
166,3.67358,-0.625,0.49697225712309034
167,3.673425,-0.62407,0.4969375349008681
168,3.673115,-0.62407,0.4969028646161764
169,3.67296,-0.625,0.4968678470842013
170,3.672805,-0.62407,0.49683312486197906
171,3.672495,-0.62407,0.49679845457728733
172,3.67234,-0.625,0.4967637842925955
173,3.654669,-1.25093,0.49672802148877615
174,3.652964,-1.24814,0.49672802148877615
175,3.651879,-1.24907,0.4966593754139582
176,3.650794,-1.25186,0.49659067222690984
177,3.650019,-1.24907,0.49651903964582456
178,3.649244,-1.25,0.49644964795230917
179,3.648623,-1.24907,0.49638020405039923
180,3.647848,-1.24907,0.49631081181475273
181,3.647228,-1.24907,0.49624141903697494
182,3.646763,-1.24907,0.4961727163920573
183,3.646143,-1.25,0.49610332415641045
184,3.645678,-1.24907,0.4960338797119661
185,3.645213,-1.24907,0.49596448747631944
186,3.698227,0.62407,0.4958930150837325
187,3.702412,0.62314,0.4958930150837325
188,3.704737,0.62314,0.4959272899474131
189,3.706752,0.62407,0.4959619085658419
