,t,V,I,SOC
108,36773.47,3.931982,0.63988,0.4990309982986111
109,36774.47,3.934152,0.6436,0.4990309982986111
110,36774.47,3.928416,0.5878,0.4990756927430555
111,36775.48,3.928881,0.58687,0.4990756927430555
112,36775.48,3.922836,0.52827,0.4991168551527778
113,36776.5,3.923146,0.52734,0.4991168551527778
114,36776.5,3.916791,0.46596,0.4991542084027777
115,36777.51,3.917101,0.46596,0.4991542084027777
116,36777.51,3.91028,0.40272,0.49918689031944447
117,36778.51,3.910745,0.40365,0.49918689031944447
118,36778.51,3.905165,0.35156,0.4992149215694444
119,36779.52,3.905165,0.35063,0.4992149215694444
120,36779.52,3.896794,0.27065,0.4992395143680554
121,36780.53,3.896639,0.26972,0.4992395143680554
122,36780.53,3.889664,0.20368,0.49925843222916655
123,36781.53,3.889664,0.20275,0.49925843222916655
124,36781.53,3.882534,0.13672,0.4992725120902777
125,36782.54,3.882223,0.13579,0.4992725120902777
126,36782.54,3.875403,0.06882,0.49928203624999995
127,36783.55,3.875093,0.06789,0.49928203624999995
128,36783.55,3.867963,0.0,0.4992867979791666
129,36784.55,3.867808,0.0,0.4992867979791666
130,36785.55,3.867808,0.0,0.4992867979791666
131,36786.55,3.867652,0.0,0.4992867979791666
132,36787.54,3.867652,0.0,0.4992867979791666
133,36788.54,3.867652,0.0,0.4992867979791666
134,36789.54,3.867652,0.0,0.4992867979791666
135,36790.54,3.867652,0.0,0.4992867979791666
136,36791.54,3.867652,0.0,0.4992867979791666
137,36792.54,3.867652,0.0,0.4992867979791666
138,36793.53,3.867652,0.0,0.4992867979791666
139,36794.53,3.867652,0.0,0.4992867979791666
140,36795.53,3.867652,0.0,0.4992867979791666
141,36796.56,3.867652,0.0,0.4992867979791666
142,36797.56,3.867652,0.0,0.4992867979791666
143,36798.56,3.867808,0.0,0.4992867979791666
144,36799.56,3.867808,0.0,0.4992867979791666
145,36800.55,3.867808,0.0,0.4992867979791666
146,36801.55,3.867808,0.0,0.4992867979791666
147,36802.55,3.867808,0.0,0.4992867979791666
148,36803.55,3.867808,0.0,0.4992867979791666
149,36804.55,3.867808,0.0,0.4992867979791666
150,36805.58,3.867808,0.0,0.4992867979791666
151,36805.58,3.862847,-0.04464,0.4992867979791666
152,36806.59,3.862692,-0.04464,0.4992867979791666
153,36806.59,3.857732,-0.09115,0.4992836669791666
154,36807.61,3.857732,-0.09115,0.4992836669791666
155,36807.61,3.851996,-0.14509,0.49927721052083324
156,36808.62,3.851686,-0.14509,0.49927721052083324
157,36808.62,3.847346,-0.18601,0.49926703406944434
158,36809.64,3.847191,-0.18601,0.49926703406944434
159,36809.64,3.842231,-0.23251,0.4992538583611111
160,36810.64,3.841921,-0.23344,0.4992538583611111
161,36810.64,3.837116,-0.27995,0.49923764724999997
162,36811.65,3.836651,-0.27995,0.49923764724999997
163,36811.65,3.829985,-0.34319,0.4992180118680555
164,36812.66,3.829675,-0.34319,0.4992180118680555
165,36812.66,3.82611,-0.3776,0.49919394090277763
166,36813.66,3.8258,-0.37853,0.49919394090277763
167,36813.66,3.820529,-0.42597,0.4991676540972221
168,36814.67,3.82022,-0.42597,0.4991676540972221
169,36814.67,3.814949,-0.47526,0.49913777703472223
170,36815.68,3.814639,-0.47526,0.49913777703472223
171,36815.68,3.806734,-0.54874,0.4991044428263888
172,36816.7,3.806269,-0.54967,0.4991044428263888
173,36816.7,3.794953,-0.65662,0.49906550786805565
174,36817.7,3.794178,-0.65662,0.49906550786805565
175,36817.7,3.805028,-0.55618,0.4990199092569445
176,36818.71,3.805028,-0.55525,0.4990199092569445
177,36818.71,3.791388,-0.68173,0.49898096463888886
178,36819.72,3.790613,-0.68266,0.49898096463888886
179,36819.72,3.785032,-0.73568,0.4989330836249999
180,36820.72,3.784567,-0.73568,0.4989330836249999
181,36820.72,3.774957,-0.82403,0.498881994736111
182,36821.73,3.774492,-0.82496,0.498881994736111
183,36821.73,3.771856,-0.84914,0.4988241329583331
184,36822.74,3.771081,-0.84914,0.4988241329583331
185,36822.74,3.765191,-0.90588,0.4987645752222223
186,36823.74,3.764416,-0.90681,0.4987645752222223
187,36823.74,3.758215,-0.96447,0.49870160230555566
188,36824.75,3.757596,-0.96447,0.49870160230555566
189,36824.75,3.746745,-1.06585,0.49863395545138883
190,36825.75,3.74597,-1.06585,0.49863395545138883
191,36825.75,3.74349,-1.08817,0.4985599380902777
192,36826.76,3.74287,-1.0891,0.4985599380902777
193,36826.76,3.736204,-1.14955,0.4984835498263887
194,36827.77,3.735274,-1.15048,0.4984835498263887
195,36827.77,3.728454,-1.21466,0.4984028564375002
196,36828.77,3.727679,-1.21466,0.4984028564375002
197,36828.77,3.715123,-1.32999,0.4983185050486113
198,36829.78,3.714193,-1.32999,0.4983185050486113
199,36829.78,3.711713,-1.35138,0.4982252210277778
200,36830.79,3.711092,-1.35138,0.4982252210277778
201,36830.79,3.703342,-1.42113,0.49813043673611096
202,36831.79,3.702567,-1.42113,0.49813043673611096
203,36831.79,3.804098,-0.47898,0.4980317471527776
204,36832.79,3.805959,-0.47526,0.4980317471527776
205,36833.79,3.806424,-0.47526,0.49799874298611096
206,36834.79,3.806734,-0.47526,0.4979657388194443
207,36835.79,3.806889,-0.47526,0.4979327346527776
208,36836.79,3.806889,-0.47526,0.49789973048611097
209,36837.79,3.807044,-0.47526,0.4978667263194443
210,36838.79,3.807199,-0.47526,0.4978337221527776
211,36839.78,3.807044,-0.47526,0.4978007179861109
212,36840.78,3.807044,-0.47526,0.497768043861111
213,36841.78,3.807044,-0.47526,0.4977350396944443
214,36842.78,3.807044,-0.47526,0.4977020355277777
215,36843.81,3.807044,-0.47526,0.497669031361111
216,36843.81,3.9078,0.46503,0.4976350370694444
217,36844.82,3.90935,0.46503,0.4976350370694444
218,36844.82,3.909195,0.46224,0.49766765375694444
219,36845.82,3.90997,0.46131,0.49766765375694444
220,36845.82,3.9047,0.41202,0.4976996891736111
221,36846.83,3.90532,0.41109,0.4976996891736111
222,36846.83,3.90935,0.44829,0.4977285225694445
223,36847.84,3.90997,0.44829,0.4977285225694445
224,36847.84,3.908885,0.43899,0.49775996513194437
225,36848.84,3.90935,0.43899,0.49775996513194437
